date,country,lang,content,label
2018-11-28 08:49:08+00:00,United Kingdom,en,"It’s mutiny Mr Christian, mutiny. #blueplaque #kennington #sailor #mutiny #bounty #mutinyonthebounty #christian #officer #home #photographer #photography #photo #pic #picoftheday #picture… https://t.co/mDcEEEVTpn",2
2021-07-26 09:12:15+00:00,Turkey,en,"The most brilliant thing I love about design is, that it indicates to an intelligent creator. In nature there is beauty but there is no design. When I recognize what mankind is able to do, I wonder how precious and intelligent the designer of mankind must be. #allah #god #design",2
2021-11-17 18:41:21+00:00,Ireland,en,"@oshanda77 @GotabayaR There were mosque full of people killed, thousands of people from all communites chased and still can't resettle in their lands, do you see anyone trying to storm state institutions and racially abuse officials? Now regardless of knowing him, the way he acts says it all.",0
2021-11-28 21:16:41+00:00,The Netherlands,en,"Perhaps a questioner would like to say: ""Yes, Coronavirus has come by the end of 2019 and the whole world has been quarantined at the beginning of 2020.
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/iEGGMDoU0s
19
#Torment_Planet_Has_Neared
 Omicron
foVvid",2
2018-05-05 17:00:55+00:00,United States,en,"@Saphina77 @LauraLoomer @Meuser4Congress @Scottforpa @SebGorka Secure our borders, stop the caravans, get rid of MS13 killer gangs, keep the tax cuts and keep your guns🇺🇸
Vote for Scott in #PA9 #SaveAmerica #MAGA #PA",2
2018-11-13 07:36:55+00:00,United Kingdom,en,"Allahu Akbar

I’m so happy this was project was achieved for our beloved brother Assim Ali @AkhindAssim 
May Allah have mercy on his soul and grant our brother Assim the highest ranks of Jannah.

And May Allah reward everyone who participated in the project

Allahhumma Ameen! https://t.co/ppJqRpmFtu",2
2021-08-06 06:56:25+00:00,United Kingdom,en,"True talk and it only HIS grace #Allah @kokozaria_americaboy 

#bdxe #bdexentertainment #bdextv @ London, Unιted Kingdom https://t.co/JfK1ZM6Vt1",2
2018-08-28 13:41:06+00:00,United Kingdom,en,"The streets of #London may not be paved with gold but they are awash with #prosecco, #rose &amp; #arabs! Goodbye old friend. It’s been a pleasure as always. See you in a few months",2
2021-08-13 12:32:22+00:00,United Kingdom,en,"Always great catching up with my humble and super talented brother Moeen Ali. 
.
.
#moeenali #wiqaralikhan #international #cricket #sports #englandcricket #british #pakistani #lordscricketground #engvsind #cricket2021 #mashallah #humble #talent https://t.co/P0XgEwcWrw",2
2018-06-02 11:47:53+00:00,United Kingdom,en,"Some pics from the Community Iftar at Makkah Mosque last night.
Thanks to all who attended and all the volunteers behind the scenes who made it happen. https://t.co/g52FjGfOxK",2
2018-12-18 07:03:25+00:00,France,en,"Safely arrived.. Alhamdulillah..
.
#TashaTravels #ShaIsaGetaway #MansorFamilyTravels #FamilyGoals #FamilyHoliday #ChristmasHoliday #Getaway #Holiday #Paris #London #TravelDiary… https://t.co/L5x1bcqVpP",2
2012-11-06 04:56:53+00:00,The Netherlands,en,"If you sad or unhappy,its part of Life. Because “happily ever after”  is only ""in hereafter "". #Jannah”",2
2021-07-09 14:18:06+00:00,Belgium,en,Where are these salafi innovators shouting shirk? https://t.co/3gGv14ILc0,2
2018-12-07 11:25:23+00:00,Poland,en,Paris warns radicals are trying to exploit Yellow Vests &amp; overthrow the... https://t.co/3Y4Whnsctw,2
2018-07-12 19:57:00+00:00,United Kingdom,en,"Hello 
.
.
.
.
.
.
.
#selfie #blackgirlmagic #loveyourself #london #shoreditch #eastlondon #melanin #melaninpoppin #muslimah #influencer #photography #artist #art #beautiful #designer… https://t.co/swIqxdWvyF",2
2020-06-01 10:21:37+00:00,United Kingdom,en,"@muslimah_han It's hard because people get into semantics... But essentially I would tell them they are confusing racism with prejudice.
You can be prejudiced against white people for all the shit we've done and still do, but to be racist against ""white"" isn't possible since it's not a race",2
2021-11-18 22:17:43+00:00,United Kingdom,en,"@tartini_sonata @SAK_Inayah @MecrantB @mohammed_hijab @DouglasKMurray What?

UK education policy that all major religions are studied in UK curriculum - every British child has to learn about Islam before the age of 16, by law.

The only exception was madrassa muslim schools, where teaching about other religions and atheism was previously banned.",2
2018-12-30 20:59:25+00:00,United Kingdom,en,"I put on my durag, she did up her hijab",2
2020-02-18 07:54:55+00:00,United Kingdom,en,"@MandyLeeDUBHKG Thanks. How do we get feminists worldwide to take up the Uyghur cause? Suggestions for groups or people whose attention we can draw this issue?!
#CloseTheCamps
#MeToo 
#BoycottBeijing2022 
#BoycottHUAWEI",0
2021-10-26 16:17:26+00:00,United Kingdom,en,"@ToodlesBand @caringinbristol Bless you, don’t be sorry! Turns out New Radicals songs are well hard to sing so I’m low-key relieved tbh 😅

Hope you’re both feeling better soon - we’ll have to make that Weezer set happen next year 👀",2
2021-09-03 21:55:21+00:00,The Netherlands,en,"@d17gr_ Salam aleikum wa rahmatullahi wa barakatuh
Allhumduillah for becoming a Muslimah 
if not for Islam 
I wouldn't be alive today",0
2018-10-04 08:48:26+00:00,France,en,"Ya'll ladies need to checkout this page! malazofficial coming out soon.. Stay tune

 #malazofficial #malaz #hijabster #hijab @ Kedai Tudung Malaysia https://t.co/9s0BscYGT5",2
2018-12-27 12:47:11+00:00,United Kingdom,en,"All this fuss about the @fa taking no action on #Salah diving and no one has shown any concern about the lad's health.
I'm surprised that he played on after that horrendous challenge. 
I really hope he's ok.

🙄

#PrayForSalah",2
2021-11-30 10:30:39+00:00,United Kingdom,en,"#BallonDor what a fix if this is for best player in a calendar year then #Messi must of had a unbeatable first 8 cos he only played 7 times scored 1 since joining PSG, @MoSalah was the best player in 2021 but cos he never won a trophy its not right to award him the BALLON D’OR",2
2020-02-27 20:57:04+00:00,United Kingdom,en,@DominicRaab@foreignoffice - 1 million brutally detained and brainwashed in Xinjiang -people from across the world are counting on you to raise your voice https://t.co/VkRbmNADRT #StandWithUyghurs # CloseTheCamps # UN # HumanRightsCouncil,2
2021-10-12 22:18:03+00:00,United Kingdom,en,"Excellent discussion with HE Ambassador Ümit Yalçın at the @TurkEmbLondon together with @ZaraM01, SG of @MuslimCouncil. We shared MCB’s work &amp; strategic priorities &amp; discussed a wide range of issues from women in leadership over Muslim participation in politics to #islamophobia. https://t.co/vKHcGHwvgH",2
2017-08-06 22:39:22+00:00,United Kingdom,en,I swear we knew this ages ago 😂#sunnah https://t.co/7IJKZIqRDr,2
2017-04-22 19:09:52+00:00,United Kingdom,en,This slab of marble represents the place where Prophet Muhammad prayed on the grounds of the Ka'bah on the day of the Conquest of #Makkah https://t.co/Uy55xAwZ8U,2
2021-11-18 22:19:31+00:00,United Kingdom,en,"@tartini_sonata @SAK_Inayah @MecrantB @mohammed_hijab @DouglasKMurray I have no problem with my kids being taught by an imam, rabbi etc.

Would you be as happy for your children to be taught a lesson about atheism, evolution and secularism by @RichardDawkins ?",2
2018-09-06 19:45:37+00:00,United Kingdom,en,"@theresa_may changed her mind on #Brexit, too. Apparently a #Remainer who could see no good reason whatsoever to #LEAVE #EU. Then some #extremists #radicalised her into the blind obedience of #Brexit at any cost, even when perilous to the #UK she is meant to be 1st Minister of! https://t.co/XOs9PLtiIC",2
2018-04-26 18:25:38+00:00,France,fr,"@wilyamstyle @davydstyle Belle princesse
#mashallah",2
2021-11-28 11:37:19+00:00,United Kingdom,en,@jwsal @06JAnk Yes. When you born you are “Muslim”,2
2018-12-22 14:17:06+00:00,Greece,en,"#Ansarullah #Greece #Ijtema 2018

#Khuddam &amp; #Ansar who were able to participate in preparations for the event tomorrow. Alhamdulillah https://t.co/8PrAjWs6Q3",2
2020-02-29 23:33:33+00:00,United States,en,â€œGas Station Shootingâ€ or #ChristianOutreach to a #Muslim man at a @DeltaGasService in #PomptonPlains #NewJersey: https://t.co/itWd2LJ4AF #DeltaGas https://t.co/40bDho5lVn,2
2020-02-29 23:42:22+00:00,United States,en,"@SassySculptor @dyro874 @PeteButtigieg I can just see these two locked in a final embrace, as radical muslims toss them off a rooftop https://t.co/PFdroOefgt",1
2020-02-29 23:58:08+00:00,United States,en,@Breaking911 @CarmineSabia The next European war will be fought against the Muslims and Turkey.,2
2020-02-29 23:59:22+00:00,United States,en,"@WubsNet The New Pope is even better. The Young Pope is in advanced coma and has a transplanted heart from a Muslim man from Egypt. It took 3 hearts to take. A new pope whom they thought had dementia, turned out to be a pope for the poor- dead. Now John Malkovich is pope.",2
2016-10-11 15:18:58+00:00,Canada,en,#Trump keeps support of Muslim-American Republicans https://t.co/ikLQYdiuC3 #Muslim #MuslimNews #News,2
2016-10-14 21:07:46+00:00,Canada,en,Will the #hijab go mainstream couture? https://t.co/7bzwRhDJie #Muslim #MuslimNews #News #shopping,2
2017-01-10 15:14:17+00:00,Canada,en,What? Have you heard of this? https://t.co/s1ERCapo1H | #Muslim #MuslimNews #McDonald #halal,2
2017-03-28 15:17:10+00:00,Canada,en,Islamism's Culture War Sets Sight on Multi-Billion Dollar Beauty Industry https://t.co/i03pEvbqJg | #muslimwomensday #muslimnews,2
2020-02-29 16:33:33+00:00,France,en,Lmfao just got selected for a “random search” at my gate before boarding my flight and I just *know* it’s bc of my Muslim last name and the hijab in my passport photo 🤣,0
2020-02-29 16:34:41+00:00,United Kingdom,en,"@BaqueHime 3.6 virtually all Muslim refugees/migrants, who want to escape/leave a fairly prosperous muslim country? Does beg a couple of questions.",1
2020-02-29 18:00:26+00:00,United Kingdom,en,"We have to get tough in this country, I dont mean a hard line regime, just a no nonsense take it or leave it government that will crush leftwing nonsense crush climate nonsense crush muslim rape gangs crush knife crime and kick out that poxy shit mayor of London.",1
2020-02-29 19:28:36+00:00,Spain,en,Some of the journalists who were supporting #ShaheenBaghProtests must be arrested too. They wanted a riots at any cost. No terror attacks no riots. No Hindu/Muslim clashes to report in foreign media. What better opportunity than provoke gullible?,2
2020-02-29 21:18:50+00:00,United Kingdom,en,I need to find a Muslim on Twitter because I have so many questions 😫,2
2020-02-29 23:21:58+00:00,United Kingdom,en,"I've just heard @Edwina_Currie call @patel4witham a ""Muslim"" live on @bbc5live. As was pointed out to her, she isn't. Muslim, Sikh, Hindu, it's probably all the same to her. Why does the BBC indulge this ignorant self-serving has-been every Ssturday night?",2
2020-10-09 22:33:24+00:00,United States,en,"So Now #CorruptTraitorTrump Using You And Them. They've Turned You Against Your Own Government/That We Control/#WeThePeople. First Far Most We're The #USA, They Seek To Destroy/#Divide. We Can't Allow/That To Stand. Together We Can #SaveAmerica.
#BidenHarrisLandslide2020 !!!
#FBR",2
2015-07-21 17:13:24+00:00,United States,en,@kennethy69 You want to see this: http://t.co/uNxRwZtIry just control yourself man. #Radicals,2
2020-01-25 13:51:37+00:00,United States,en,"@LisaRacer2 @AggressiveProg1 Done ✅ &amp; following fellow #resister @AggressiveProg1!
#TheResistance is #StrongerTogether💪!
#FBR
#ResistersUnite
#ImpeachmentTaskForce
#SaveAmerica🇺🇸
#VoteBlueNoMatterWho
#HappyBlueYear2020🥳🎉🎊!",2
2018-08-13 04:00:23+00:00,United States,en,@RealJamesWoods Just like her she was appointed by radicals. She Supported the radical Muslim running4 office in Michigan who has directed ties 2terrorist groups. She is a fake. She wants 2replace r history r statues &amp; r constitution with sharia law. She is not 4 America she hates all we stand 4 https://t.co/WmibGu5Ah0,1
2020-02-04 09:01:50+00:00,United States,en,"@victorkhoshoob @LeonaLioness666 @Liberal4life4 Done ✅ &amp; following fellow #resister @Liberal4life4! I retweeted this as well!
#TheResistance is #StrongerTogether💪!
#FBR
#ResistersUnite
#ImpeachmentTaskForce
#SaveAmerica🇺🇸
#VoteBlueToEndThisNightmare 
#ResistCorruption",2
2020-01-25 13:04:49+00:00,United States,en,"@Tracy9672 @MicheleScott12 @LaneZane1 Happy Birthday 🎉🎂🎈 my fellow #resister @LaneZane1!
Now following you too!
#TheResistance is #StrongerTogether💪!
#FBR
#ResistersUnite
#ImpeachmentTaskForce
#SaveAmerica🇺🇸
#VoteBlueNoMatterWho
#HappyBlueYear2020🥳🎉🎊!",2
2018-11-21 12:14:23+00:00,United States,en,"From #elegant and #modest #abayas to everyday wear #hijabfashion. I got you covered. #StayTuned for our #launch date! https://t.co/nqwfbMLZym.

#dubaistyle #hiphop #newmusic #islam #singer #indopop #songwriter #edm #dance #dj #lndopop #fashion  #hijab #mashallah #muslimfashion https://t.co/A7Hi1qnFo3",2
2018-12-29 23:51:11+00:00,United States,en,@Trump454545 @Jamierodr10 It is and they intend to take over to make everyone an islamic heathen,1
2018-11-03 17:52:06+00:00,United States,en,"#BeAVoter !!  #Vote on Tuesday, November 6!!  #SaveAmerica #Protect #HealthCare https://t.co/nT7hHIDZjd",2
2020-05-27 17:26:54+00:00,United States,en,"@MSNBC Live My Thought's, Listening To #NewYorks Governor. The #GOPTaxScam #IMCorruptTrump/#MoscowLyingMitch Did Some Damage To States. Now They're Refusing #Financial Help States. America We Can Do Better.
#VoteBlue2020 
#SaveAmerica",2
2021-10-30 16:00:33+00:00,United States,en,"@_JASSSYY Yeah, how much &amp; when you gonna give it back 😀",2
2018-12-23 19:50:18+00:00,United States,en,"@V_of_Europe https://t.co/no72PoqZ18 She's right. What religion sets guidelines to beat your wife so many times when she""misbehaves""or women cannot claim rape unless 5 men tell the court they witnessed it. islam isn't about peace, it's a cult to annihilate all other religions. Read the quran",1
2018-08-10 06:25:21+00:00,United States,en,@lsarsour Sharia law will never replace r constitution. Chances r that if u back candidates running 4 office that have ties 2 radicals u r 1 urself. Radicals running 4 office that pretend that Americans way of life is ok with them r fak. What they really want is all none Muslims dead. https://t.co/yyme8rcmEN,1
2018-12-22 03:19:01+00:00,United States,en,"@ChristusPatriot @Jamierodr10 @petluvers4Trump @DonnaWR8 @grizzlemeister @TheTrumpLady @speedprayers @StormIsUponUs @RealMAGASteve @1776Stonewall @skb_sara @sassymouth7 That is just so wrong. The quran is everything against our Constitution and the Republic. She can't swear allegiance to America under God on a quran. She has no true god - she has mohammad, he is a pretend god of evil.",1
2020-01-25 15:01:00+00:00,United States,en,"@Tracy9672 @formerrepublic7 @CupkakeSpark Already following this awesome fellow #resister @CupkakeSpark &amp; will happily retweet this! 

#TheResistance is #StrongerTogether💪!
#ResistersUnite!
#FBR!
#ImpeachmentTaskForce!
#SaveAmerica🇺🇸!
#VoteBlueNoMatterWho!
#VoteBlueToEndThisNightmare!",2
2018-09-09 10:19:31+00:00,United States,en,@LauraLoomer @realDonaldTrump She is a openly radical Muslim. She wants 2 replace r constitution with sharia law. She is openly calling 4 other radicals 2 attack r president &amp; she is still free why is that. She needs to b arrested already,2
2018-12-26 20:38:22+00:00,United States,en,"@MikeBrestDC @DailyCaller It never was about women when the radicals took over, it became the vile, ugly, anti-semitic, anti-christian, anti-non-lgbt women &amp; anti-free thinking women. It was the march to make all women into one big hate group against all other women not a radical leftist sharia law lover.",1
2020-01-25 02:25:33+00:00,United States,en,"@Tracy9672 @Lori_Resists @corinne_delaney Done ✅ &amp; following fellow #resister @corinne_delaney!
#TheResistance is #StrongerTogether💪!
#FBR
#ResistersUnite
#ImpeachmentTaskForce
#SaveAmerica🇺🇸
#VoteBlueToEndThisNightmare 
#HappyBlueYear2020🥳🎉",2
2020-08-02 16:57:25+00:00,United States,en,"“Victim groups”, “partisan tolerance”, 70% #Millennials prefer socials/communist America..! Thx to Marcuse’s ideas &amp; Alinsky’s divisive tactics we’re brainwashed into believing that #America is the problem https://t.co/gOCnWG2B1W @BBCNorthAmerica @WSJ #savedemocracy #SaveAmerica",2
2018-12-17 14:52:51+00:00,United States,en,"#ImportantStatemenToMuslimsAndTheWorlds

What I want to exhort you with — O community scholars of Muslims is that you rise for Allah in pairs and singly then reflect using your minds.

Imam Nasser Mohammad Al-Yemeni

16 - 12 - 2018 AD

12:50 am

https://t.co/01AYkNZv4U https://t.co/yb9QNyFjUA",0
2020-01-24 01:41:07+00:00,United States,en,"@Tracy9672 @WellbrockScott Done ✅ &amp; following fellow #resister @WellbrockScott!
StrongerTogether💪!
#FBR
#ResistersUnite
#ImpeachmentTaskForce
#SaveAmerica🇺🇸
#VoteBlueToEndThisNightmare 
#HappyBlueYear2020🥳🎉",2
2021-11-30 07:40:59+00:00,United States,en,@davenewworld_2 Sounds like another satisfied Epstein Islam visitor https://t.co/XD79yCQPrd,2
2021-02-10 03:51:28+00:00,United States,en,The Republican Party is not represented by Donald Trump as a whole. Keep that in mind. #VoteToConvict #SaveAmerica #GQP #TraitorTrump #antiracism #QOP,2
2020-12-31 15:56:56+00:00,United States,en,"You know historically, women who wanted education &amp; equality were called #radicals . @GeorgiaSenate voting for @ReverendWarnock &amp; @ossoff #FlipSenateBlue",2
2020-03-04 15:22:54+00:00,United States,en,"@MSNBC Live @HallieJackson My Thought's, Thank You #MayorBloomberg For Your Service, #Patriots Are Stepping Up To #SaveAmerica.
#Biden2020.",2
2018-11-23 16:33:52+00:00,United States,en,"It's #BlackFriday y'all! Visit https://t.co/lUFGK7GIQg and use #PromoCode ‘WINTERSONATA’ for a surprise discount!

#dubaistyle #islam #edm #dj #fashion #hijab #mashallah #muslimfashion #kebaya #janamaz #muslimwoman #tesbih #jilbab #hijabcap #modestoutfit #dubaifashion https://t.co/C5GzWPlokA",2
2018-11-09 01:34:13+00:00,United States,en,"Over 1,000 marches across the U.S. to #ProtectMueller and #SaveAmerica. https://t.co/DJhOM4XXmw",2
2020-01-25 06:13:57+00:00,United States,en,"@TopDogBea_ @bemitched @victorkhoshoob Already following this awesome fellow #resister! And more than happy to retweet! #FBRParty🎉🎈!!

#TheResistance is #StrongerTogether💪!
#FBR
#ResistersUnite
#ImpeachmentTaskForce
#SaveAmerica🇺🇸
#VoteBlueNoMatterWho
#HappyBlueYear2020🥳🎉🎊!",2
2021-10-30 16:09:31+00:00,United States,en,@QueenDetroit107 Me too! https://t.co/GrfWhXUPk4,2
2021-01-01 13:46:40+00:00,United States,en,"@MSNBC Live #LinseyResiner My Thought's, Hold Up Mr Steel/The Only Party That's Radical Is Your #RepublicanParty. As You Can See They're Trampling The #Constituion/Their Oath Of Office. Now That's #Radical And #Deranged.
#VoteBlueGeorgia !!!
#SaveAmerica !!!",2
2018-08-26 10:27:53+00:00,United States,en,Where is the outrage from the democrats 4 these families permanently separated from their kids by illegals or radicals Muslims? Where’s the protesting4 their stolen dreams? How many of legal American kids have2 die? When r u Democratic Supporters going 2 wake up? Can happen 2 u 2 https://t.co/EIwTq6i1Ls,1
