,Unnamed: 0,Unnamed: 0.1,date,country,lang,content,label,id,translated_tweets,tokenized_content
13,13,13,2018-07-08 17:43:58+00:00,United Kingdom,en,"Zealots are religious people on righteous mission 

We would never think of calling Daesh or Taliban ""zealots"", because their cause is evil. So we call them #extremists, #radicalised to a destructive cause

#Brextremism is a dangerous, radicalised fascistic extremism. https://t.co/vmJrN9jHGD",2.0,,"Zealots are religious people on righteous mission 

We would never think of calling Daesh or Taliban ""zealots"", because their cause is evil. So we call them #extremists, #radicalised to a destructive cause

#Brextremism is a dangerous, radicalised fascistic extremism. https://t.co/vmJrN9jHGD",zealot religious people righteous mission would never think call daesh taliban zealot cause evil call #extremists #radicalised destructive cause #brextremism dangerous radicalised fascistic extremism
14,14,14,2021-11-15 19:35:51+00:00,United Kingdom,en,These people defending these extreme Islamists make me sick ...how can they defend the undefendable? 😡😡😡,2.0,,These people defending these extreme Islamists make me sick ...how can they defend the undefendable? 😡😡😡,people defend extreme islamist make sick defend undefendable outing_face pouting_face pouting_face
15,15,15,2018-12-28 23:04:23+00:00,United Kingdom,en,"“No militant group has yet claimed responsibility for Friday’s attack. The most active group has been Islamic State, which has been operating mainly in North Sinai.” 

Bomb attack on tourist bus near pyramids kills at least four people https://t.co/WZmY4khs6C #Egypt",2.0,,"“No militant group has yet claimed responsibility for Friday’s attack. The most active group has been Islamic State, which has been operating mainly in North Sinai.” 

Bomb attack on tourist bus near pyramids kills at least four people https://t.co/WZmY4khs6C #Egypt",militant group yet claim responsibility friday attack active group islamic state operate mainly north sinai bomb attack tourist bus near pyramid kill least four people #egypt
16,16,16,2013-10-13 09:47:57+00:00,Tunisia,en,#Allah Ya #Allah Guide me All The way to your #Jannah ~,0.0,,#Allah Ya #Allah Guide me All The way to your #Jannah ~,#allah #allah guide way #jannah
17,17,17,2021-11-23 14:54:09+00:00,United Kingdom,en,@KbfMajor @Nigel_Farage That’s the problem with being thick as two short planks. Whether it’s an Islamic Fundamentalist in the streets or Nigel Führage on Twitter or GBeebies; it’s the same thing. Both are equally as abhorrent.,2.0,,@KbfMajor @Nigel_Farage That’s the problem with being thick as two short planks. Whether it’s an Islamic Fundamentalist in the streets or Nigel Führage on Twitter or GBeebies; it’s the same thing. Both are equally as abhorrent.,problem thick two short plank whether islamic fundamentalist street nigel führage twitter gbeebies thing equally abhorrent
18,18,18,2021-11-26 17:38:06+00:00,United Kingdom,en,"@naveedmalkot And since it discusses ethics, also known as moral philosophy and what constitutes good and bad conduct, right and wrong values, and good and evil, I believe for Muslims, it is crucial to study these ‘basics, and use them in their Dàwah to Islam, inshaAllah.",0.0,,"@naveedmalkot And since it discusses ethics, also known as moral philosophy and what constitutes good and bad conduct, right and wrong values, and good and evil, I believe for Muslims, it is crucial to study these ‘basics, and use them in their Dàwah to Islam, inshaAllah.",since discus ethic also know moral philosophy constitute good bad conduct right wrong value good evil believe muslim crucial study basic use dàwah islam inshaallah
19,19,19,2018-12-31 08:32:10+00:00,United Kingdom,en,"@CairnsAlistair @BBCBreakfast While we argue to allow them in, the Muslims we already refuged,Threaten the Govt.  with RIOTS IF they grant the Pakistani Christian Mother of 4, they want to kill her...On what grounds U R Discussing...For Sure Not Humanity..?",1.0,,"@CairnsAlistair @BBCBreakfast While we argue to allow them in, the Muslims we already refuged,Threaten the Govt.  with RIOTS IF they grant the Pakistani Christian Mother of 4, they want to kill her...On what grounds U R Discussing...For Sure Not Humanity..?",argue allow muslim already refuged threaten govt riot grant pakistani christian mother want kill ground discuss sure humanity
20,20,20,2018-12-02 23:51:23+00:00,United Kingdom,en,"Allah grant you Jannah Ameen !! @ Ilford, Redbridge, United Kingdom https://t.co/lNB8Fhuk9a",2.0,,"Allah grant you Jannah Ameen !! @ Ilford, Redbridge, United Kingdom https://t.co/lNB8Fhuk9a",allah grant jannah ameen ilford redbridge unite kingdom
21,21,21,2018-12-08 23:17:16+00:00,United Kingdom,en,"@someone01015091 @_muslimah_h Please show me your evidence that Muslims in the U.K. commit fewer sex crimes per capita than ‘kuffar’ (nice use of a derogatory slur, btw).",1.0,,"@someone01015091 @_muslimah_h Please show me your evidence that Muslims in the U.K. commit fewer sex crimes per capita than ‘kuffar’ (nice use of a derogatory slur, btw).",please show evidence muslims commit sex crime per caput kuffar nice use derogatory slur btw
22,22,22,2018-08-06 12:27:51+00:00,United Kingdom,en,"this an emotional scene that appears indian #pilgrims leaving to Makkah and the locals waving to them as they wish safe journey. 
May Allah accept their good deeds https://t.co/LFjBxH6MTe",0.0,,"this an emotional scene that appears indian #pilgrims leaving to Makkah and the locals waving to them as they wish safe journey. 
May Allah accept their good deeds https://t.co/LFjBxH6MTe",emotional scene appear indian #pilgrims leave makkah local wave wish safe journey may allah accept good deed
23,23,23,2018-12-01 04:53:18+00:00,United Kingdom,en,Yesterday Friday 30 Nov #GreatReturnOfMarch 18 shot injured by live rounds including 1 press wearing press I'd clothing  23 treated for tear gas . 1st time no deaths in 36 weeks #Gaza #Palestine,2.0,,Yesterday Friday 30 Nov #GreatReturnOfMarch 18 shot injured by live rounds including 1 press wearing press I'd clothing  23 treated for tear gas . 1st time no deaths in 36 weeks #Gaza #Palestine,yesterday friday nov #greatreturnofmarch shot injure live round include press wear press i'd clothing treat tear gas 1st time death week #gaza #palestine
24,24,24,2020-03-03 14:14:09+00:00,United Kingdom,en,"@ErkinSidick Eric have you a further written source? This is major! Please share.
#CloseTheCamps",0.0,,"@ErkinSidick Eric have you a further written source? This is major! Please share.
#CloseTheCamps",eric far write source major please share #closethecamps
25,25,25,2018-11-21 10:51:43+00:00,United Kingdom,en,"@MuhammedAMalang @y8shi Let me make this simple:
Batriya - A sect of zaidiya, Some 'shia' such as yasir al habibi uses the term to mean those shia who mix their allegiance to the imams and the first 3 caliphs.

Shia - follower of ahlul bait, with imam ali (as) being the first",2.0,,"@MuhammedAMalang @y8shi Let me make this simple:
Batriya - A sect of zaidiya, Some 'shia' such as yasir al habibi uses the term to mean those shia who mix their allegiance to the imams and the first 3 caliphs.

Shia - follower of ahlul bait, with imam ali (as) being the first",let make simple batriya sect zaidiya shia yasir habibi use term mean shia mix allegiance imam first caliph shia follower ahlul bait imam ali first
26,26,26,2021-11-28 19:46:01+00:00,The Netherlands,en,"O Non-Arabs and Arabs, certainly the planet of Torment is just around the corner, so where would you escape?.
Imam Nasser Mohammed Al-Yamani
14-10-2021
9
#Torment_Planet_Has_Neared
 Omicron
urEHI%",2.0,,"O Non-Arabs and Arabs, certainly the planet of Torment is just around the corner, so where would you escape?.
Imam Nasser Mohammed Al-Yamani
14-10-2021
9
#Torment_Planet_Has_Neared
 Omicron
urEHI%",non-arabs arabs certainly planet torment around corner would escape imam nasser mohammed al-yamani #torment_planet_has_neared omicron urehi
27,27,27,2020-06-01 20:07:50+00:00,United Kingdom,en,"Please, America, do not vote @realDonaldTrump !!! #Biden2020 I’m not American, but I can see the damage he has caused to your country #SaveAmerica",2.0,,"Please, America, do not vote @realDonaldTrump !!! #Biden2020 I’m not American, but I can see the damage he has caused to your country #SaveAmerica",please america vote #biden2020 american see damage cause country #saveamerica
28,28,28,2018-12-29 17:54:49+00:00,Turkey,en,"Blue Mosque! 

#bluemosque #istanbul #istanbulturkey @ Blue Mosque (Sultanahmet Camii) https://t.co/4KlrXd3BFH",2.0,,"Blue Mosque! 

#bluemosque #istanbul #istanbulturkey @ Blue Mosque (Sultanahmet Camii) https://t.co/4KlrXd3BFH",blue mosque #bluemosque #istanbul #istanbulturkey blue mosque sultanahmet camii
29,29,29,2019-11-30 08:58:53+00:00,United Kingdom,en,@piersmorgan Yes - let’s recall these #Radicals @BorisJohnson - now - today!  Get them banged up and preferably with our Great prisoners that will give them #72Virgins!!,2.0,,@piersmorgan Yes - let’s recall these #Radicals @BorisJohnson - now - today!  Get them banged up and preferably with our Great prisoners that will give them #72Virgins!!,yes let recall #radicals today get bang preferably great prisoner give #72virgins
30,30,30,2018-12-28 04:55:32+00:00,United Kingdom,en,Alhamdulillah for the tests I've been through and going through. For them comes blessings in the akhirah.,2.0,,Alhamdulillah for the tests I've been through and going through. For them comes blessings in the akhirah.,alhamdulillah test i've go come blessing akhirah
31,31,31,2018-04-08 19:13:53+00:00,France,en,"@fontaine_nico @QueenOfHellBoho @abracadabxtch Easy come easy go, will you let me go ? Bismillah NO !",2.0,,"@fontaine_nico @QueenOfHellBoho @abracadabxtch Easy come easy go, will you let me go ? Bismillah NO !",easy come easy let bismillah
32,32,32,2018-12-01 00:59:30+00:00,United Kingdom,en,"#miss #you #gran. #allah #bless #your #soul. #ameen 

#keepstronglivelife #ilford @ Ilford, Redbridge, United Kingdom https://t.co/UuJGDh6wKx",2.0,,"#miss #you #gran. #allah #bless #your #soul. #ameen 

#keepstronglivelife #ilford @ Ilford, Redbridge, United Kingdom https://t.co/UuJGDh6wKx",#miss #you #gran #allah #bless #your #soul #ameen #keepstronglivelife #ilford ilford redbridge unite kingdom
33,33,33,2018-12-28 09:35:39+00:00,Turkey,en,"The evening call to prayer inside the courtyard of this beautiful Mosque is mesmerizing and unforgettable. 
______
#istanbul #bluemosque #turkey #islam #peripateticcouple #RTWjourney… https://t.co/naAJqqIzDD",2.0,,"The evening call to prayer inside the courtyard of this beautiful Mosque is mesmerizing and unforgettable. 
______
#istanbul #bluemosque #turkey #islam #peripateticcouple #RTWjourney… https://t.co/naAJqqIzDD",evening call prayer inside courtyard beautiful mosque mesmerizing unforgettable #istanbul #bluemosque #turkey #islam #peripateticcouple #rtwjourney
34,34,34,2018-12-29 18:55:47+00:00,United Kingdom,en,Arsenal beating us 1-1 seems sooooooooooooooooo long ago now 🤣 #LFC #LIVARS #YNWA #Firmino #salah #mane #klopp,2.0,,Arsenal beating us 1-1 seems sooooooooooooooooo long ago now 🤣 #LFC #LIVARS #YNWA #Firmino #salah #mane #klopp,arsenal beating seem sooo long ago rolling_on_the_floor_laughing #lfc #livars #ynwa #firmino #salah #mane #klopp
35,35,35,2021-11-22 13:53:47+00:00,United Kingdom,en,@Muslimah_Imaan @tejwo @MairavZ Something is seriously wrong with your judgement,2.0,,@Muslimah_Imaan @tejwo @MairavZ Something is seriously wrong with your judgement,something seriously wrong judgement
36,36,36,2020-11-03 20:49:29+00:00,Austria,de,"Preis und Dank gebühren Gott, der Erhaben in Seinem Ein- und Einzigsein und in Seiner Alleinigkeit dennoch Seinen Geschöpfen nahe ist. Voller Majestät Seine Herrschaft und prächtig die Stützen Seiner Schöpfung. #ProphetMuhammad #ImamAli Text_von#Ghadir_Sermon",2.0,,praise and thanks be due god the sublime his one and only being yet close to his creatures is his rule full of majesty and magnificent the supports of his creation #prophetmuhammad #imamali text_by #ghadir_sermon,praise thanks due god sublime one yet close creature rule full majesty magnificent support creation #prophetmuhammad #imamali text_by #ghadir_sermon
37,37,37,2014-09-03 14:42:21+00:00,United Kingdom,en,@David_Cameron @BarackObama  #listenup!! #American talks a lot f sense about #Radicals!! https://t.co/DiofH9tZxk,2.0,,@David_Cameron @BarackObama  #listenup!! #American talks a lot f sense about #Radicals!! https://t.co/DiofH9tZxk,#listenup #american talk lot sense #radicals
38,38,38,2018-09-29 20:25:18+00:00,Turkey,en,"She is a Salafi woman/wife &amp; she is honoured &amp; she have high status, for indeed our Noble Prophet -ﷺ- said:

‘The best of you, is the one who is best to his wife and I am the best to my wife and if your companions should die then make Dua’ for them.’ [Silsilah Saheehah’ no. 285]",2.0,,"She is a Salafi woman/wife &amp; she is honoured &amp; she have high status, for indeed our Noble Prophet -ﷺ- said:

‘The best of you, is the one who is best to his wife and I am the best to my wife and if your companions should die then make Dua’ for them.’ [Silsilah Saheehah’ no. 285]",salafi woman wife honour high status indeed noble prophet say best one best wife best wife companion die make dua silsilah saheehah
39,39,39,2021-10-24 16:42:05+00:00,United Kingdom,en,Can’t stand the prick but he’s ok ain’t he #Salah,2.0,,Can’t stand the prick but he’s ok ain’t he #Salah,stand prick #salah
40,40,40,2021-11-04 20:10:54+00:00,United Kingdom,en,Annotating quotes is one of my favourite things to do with students in lesson especially when students present their books so neatly. @OldhamOasis #quran #year9 #capitalGforGodplease https://t.co/nklNxUjMG2,2.0,,Annotating quotes is one of my favourite things to do with students in lesson especially when students present their books so neatly. @OldhamOasis #quran #year9 #capitalGforGodplease https://t.co/nklNxUjMG2,annotate quote one favourite thing student lesson especially student present book neatly #quran #year9 #capitalgforgodplease
41,41,41,2018-11-23 08:38:46+00:00,United Kingdom,en,"Asia Bibi:-Thank you, We waiting for the Home office reply, But I Afraid it might be too late, a huge number of the Radicals are searching now House to a house to find her...?😠😡❣️❣️",2.0,,"Asia Bibi:-Thank you, We waiting for the Home office reply, But I Afraid it might be too late, a huge number of the Radicals are searching now House to a house to find her...?😠😡❣️❣️",asia bibi thank wait home office reply afraid might late huge number radical search house house find angry_face pouting_face heart_exclamation heart_exclamation
42,42,42,2018-12-17 13:13:14+00:00,United Kingdom,en,"GIVING AWAY 24 HRS THIS WEEK TO DISCUSS WITH ANYONE WHO MAY NEED AN ADVICE, COUNSELLING OR JUST A CHAT ON ANYTHING ☃️❄⚘ #christmas #advice #birthday #Jesus #Christ #christian #holidays #sunday #love #entrepreneurs #blackpool #rccg  #photos #entrepreneurship #human #learn https://t.co/LtsQDdC2AU",2.0,,"GIVING AWAY 24 HRS THIS WEEK TO DISCUSS WITH ANYONE WHO MAY NEED AN ADVICE, COUNSELLING OR JUST A CHAT ON ANYTHING ☃️❄⚘ #christmas #advice #birthday #Jesus #Christ #christian #holidays #sunday #love #entrepreneurs #blackpool #rccg  #photos #entrepreneurship #human #learn https://t.co/LtsQDdC2AU",give away hr week discus anyone may need advice counsel chat anything snowman snowflake #christmas #advice #birthday #jesus #christ #christian #holidays #sunday #love #entrepreneurs #blackpool #rccg #photos #entrepreneurship #human #learn
43,43,43,2021-10-28 07:52:08+00:00,France,en,"Mashallah, Allah bless you and your entire family https://t.co/FWBa5qNaDQ",2.0,,"Mashallah, Allah bless you and your entire family https://t.co/FWBa5qNaDQ",mashallah allah bless entire family
44,44,44,2018-11-16 18:04:01+00:00,United Kingdom,en,"@stevejackson45 curry tonight Steve,I thought the New Bismillah was the worst curry in Yorkshire",2.0,,"@stevejackson45 curry tonight Steve,I thought the New Bismillah was the worst curry in Yorkshire",curry tonight steve think new bismillah bad curry yorkshire
45,45,45,2018-11-28 08:49:08+00:00,United Kingdom,en,"It’s mutiny Mr Christian, mutiny. #blueplaque #kennington #sailor #mutiny #bounty #mutinyonthebounty #christian #officer #home #photographer #photography #photo #pic #picoftheday #picture… https://t.co/mDcEEEVTpn",2.0,,"It’s mutiny Mr Christian, mutiny. #blueplaque #kennington #sailor #mutiny #bounty #mutinyonthebounty #christian #officer #home #photographer #photography #photo #pic #picoftheday #picture… https://t.co/mDcEEEVTpn",mutiny christian mutiny #blueplaque #kennington #sailor #mutiny #bounty #mutinyonthebounty #christian #officer #home #photographer #photography #photo #pic #picoftheday #picture
46,46,46,2021-07-26 09:12:15+00:00,Turkey,en,"The most brilliant thing I love about design is, that it indicates to an intelligent creator. In nature there is beauty but there is no design. When I recognize what mankind is able to do, I wonder how precious and intelligent the designer of mankind must be. #allah #god #design",2.0,,"The most brilliant thing I love about design is, that it indicates to an intelligent creator. In nature there is beauty but there is no design. When I recognize what mankind is able to do, I wonder how precious and intelligent the designer of mankind must be. #allah #god #design",brilliant thing love design indicate intelligent creator nature beauty design recognize mankind able wonder precious intelligent designer mankind must #allah #god #design
47,47,47,2021-11-17 18:41:21+00:00,Ireland,en,"@oshanda77 @GotabayaR There were mosque full of people killed, thousands of people from all communites chased and still can't resettle in their lands, do you see anyone trying to storm state institutions and racially abuse officials? Now regardless of knowing him, the way he acts says it all.",0.0,,"@oshanda77 @GotabayaR There were mosque full of people killed, thousands of people from all communites chased and still can't resettle in their lands, do you see anyone trying to storm state institutions and racially abuse officials? Now regardless of knowing him, the way he acts says it all.",mosque full people kill thousand people communites chase still can't resettle land see anyone try storm state institution racially abuse official regardless know way act say
48,48,48,2021-11-28 21:16:41+00:00,The Netherlands,en,"Perhaps a questioner would like to say: ""Yes, Coronavirus has come by the end of 2019 and the whole world has been quarantined at the beginning of 2020.
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/iEGGMDoU0s
19
#Torment_Planet_Has_Neared
 Omicron
foVvid",2.0,,"Perhaps a questioner would like to say: ""Yes, Coronavirus has come by the end of 2019 and the whole world has been quarantined at the beginning of 2020.
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/iEGGMDoU0s
19
#Torment_Planet_Has_Neared
 Omicron
foVvid",perhaps questioner would like say yes coronavirus come end whole world quarantine beginning imam nasser mohammed al-yamani #torment_planet_has_neared omicron fovvid
49,49,49,2018-05-05 17:00:55+00:00,United States,en,"@Saphina77 @LauraLoomer @Meuser4Congress @Scottforpa @SebGorka Secure our borders, stop the caravans, get rid of MS13 killer gangs, keep the tax cuts and keep your guns🇺🇸
Vote for Scott in #PA9 #SaveAmerica #MAGA #PA",2.0,,"@Saphina77 @LauraLoomer @Meuser4Congress @Scottforpa @SebGorka Secure our borders, stop the caravans, get rid of MS13 killer gangs, keep the tax cuts and keep your guns🇺🇸
Vote for Scott in #PA9 #SaveAmerica #MAGA #PA",secure border stop caravan get rid ms13 killer gang keep tax cut keep gun united_states vote scott #pa9 #saveamerica #maga #pa
50,50,50,2018-11-13 07:36:55+00:00,United Kingdom,en,"Allahu Akbar

I’m so happy this was project was achieved for our beloved brother Assim Ali @AkhindAssim 
May Allah have mercy on his soul and grant our brother Assim the highest ranks of Jannah.

And May Allah reward everyone who participated in the project

Allahhumma Ameen! https://t.co/ppJqRpmFtu",2.0,,"Allahu Akbar

I’m so happy this was project was achieved for our beloved brother Assim Ali @AkhindAssim 
May Allah have mercy on his soul and grant our brother Assim the highest ranks of Jannah.

And May Allah reward everyone who participated in the project

Allahhumma Ameen! https://t.co/ppJqRpmFtu",allahu akbar happy project achieve beloved brother assim ali may allah mercy soul grant brother assim high rank jannah may allah reward everyone participate project allahhumma ameen
51,51,51,2021-08-06 06:56:25+00:00,United Kingdom,en,"True talk and it only HIS grace #Allah @kokozaria_americaboy 

#bdxe #bdexentertainment #bdextv @ London, Unιted Kingdom https://t.co/JfK1ZM6Vt1",2.0,,"True talk and it only HIS grace #Allah @kokozaria_americaboy 

#bdxe #bdexentertainment #bdextv @ London, Unιted Kingdom https://t.co/JfK1ZM6Vt1",true talk grace #allah caboy #bdxe #bdexentertainment #bdextv london unιted kingdom
52,52,52,2018-08-28 13:41:06+00:00,United Kingdom,en,"The streets of #London may not be paved with gold but they are awash with #prosecco, #rose &amp; #arabs! Goodbye old friend. It’s been a pleasure as always. See you in a few months",2.0,,"The streets of #London may not be paved with gold but they are awash with #prosecco, #rose &amp; #arabs! Goodbye old friend. It’s been a pleasure as always. See you in a few months",street #london may pave gold awash #prosecco #rose #arabs goodbye old friend pleasure always see month
53,53,53,2021-08-13 12:32:22+00:00,United Kingdom,en,"Always great catching up with my humble and super talented brother Moeen Ali. 
.
.
#moeenali #wiqaralikhan #international #cricket #sports #englandcricket #british #pakistani #lordscricketground #engvsind #cricket2021 #mashallah #humble #talent https://t.co/P0XgEwcWrw",2.0,,"Always great catching up with my humble and super talented brother Moeen Ali. 
.
.
#moeenali #wiqaralikhan #international #cricket #sports #englandcricket #british #pakistani #lordscricketground #engvsind #cricket2021 #mashallah #humble #talent https://t.co/P0XgEwcWrw",always great catch humble super talented brother moeen ali #moeenali #wiqaralikhan #international #cricket #sports #englandcricket #british #pakistani #lordscricketground #engvsind #cricket2021 #mashallah #humble #talent
54,54,54,2018-06-02 11:47:53+00:00,United Kingdom,en,"Some pics from the Community Iftar at Makkah Mosque last night.
Thanks to all who attended and all the volunteers behind the scenes who made it happen. https://t.co/g52FjGfOxK",2.0,,"Some pics from the Community Iftar at Makkah Mosque last night.
Thanks to all who attended and all the volunteers behind the scenes who made it happen. https://t.co/g52FjGfOxK",pic community iftar makkah mosque last night thanks attend volunteer behind scene make happen
55,55,55,2018-12-18 07:03:25+00:00,France,en,"Safely arrived.. Alhamdulillah..
.
#TashaTravels #ShaIsaGetaway #MansorFamilyTravels #FamilyGoals #FamilyHoliday #ChristmasHoliday #Getaway #Holiday #Paris #London #TravelDiary… https://t.co/L5x1bcqVpP",2.0,,"Safely arrived.. Alhamdulillah..
.
#TashaTravels #ShaIsaGetaway #MansorFamilyTravels #FamilyGoals #FamilyHoliday #ChristmasHoliday #Getaway #Holiday #Paris #London #TravelDiary… https://t.co/L5x1bcqVpP",safely arrive alhamdulillah #tashatravels #shaisagetaway #mansorfamilytravels #familygoals #familyholiday #christmasholiday #getaway #holiday #paris #london #traveldiary
56,56,56,2012-11-06 04:56:53+00:00,The Netherlands,en,"If you sad or unhappy,its part of Life. Because “happily ever after”  is only ""in hereafter "". #Jannah”",2.0,,"If you sad or unhappy,its part of Life. Because “happily ever after”  is only ""in hereafter "". #Jannah”",sad unhappy part life happily ever hereafter #jannah
